county,years,pop,,,,
,2005,"139,868",,,,
,2006,"143,528",,,,
,2007,"146,806",,,,
,2008,"149,114",,,,
,2009,"150,151",,,,
,2010,"151,160",,,,
Marin,1999,"244,931",,,,
,2000,"247,424",,,,
,2001,"247,731",,,,
,2002,"247,382",,,,
,2003,"247,280",,,,
,2004,"246,684",,,,
,2005,"246,686",,,,
,2006,"247,247",,,,
,2007,"248,802",,,,
,2008,"250,288",,,,
,2009,"251,230",,,,
,2010,"252,767",,,,
Mariposa,1999,"16,945",,,,
,2000,"17,056",,,,
,2001,"17,269",,,,
,2002,"17,461",,,,
,2003,"17,764",,,,
,2004,"17,872",,,,
,2005,"18,057",,,,
,2006,"18,244",,,,
,2007,"18,376",,,,
,2008,"18,385",,,,
,2009,"18,281",,,,
,2010,"18,119",,,,
Mendocino,1999,"85,800",,,,
,2000,"86,506",,,,
,2001,"87,140",,,,
,2002,"87,507",,,,
,2003,"88,017",,,,
,2004,"88,239",,,,
,2005,"88,016",,,,
,2006,"87,584",,,,
,2007,"87,646",,,,
,2008,"87,782",,,,
,2009,"87,569",,,,
,2010,"87,939",,,,
Merced,1999,"207,457",,,,
,2000,"211,109",,,,
,2001,"217,319",,,,
,2002,"222,733",,,,
,2003,"229,182",,,,
,2004,"235,549",,,,
,2005,"240,600",,,,
,2006,"245,555",,,,
,2007,"249,538",,,,
,2008,"251,932",,,,
,2009,"254,123",,,,
,2010,"256,386",,,,
Modoc,1999,"9,437",,,,
,2000,"9,510",,,,
,2001,"9,434",,,,
,2002,"9,400",,,,
,2003,"9,511",,,,
,2004,"9,602",,,,
,2005,"9,588",,,,
,2006,"9,639",,,,
,2007,"9,590",,,,
,2008,"9,623",,,,
,2009,"9,632",,,,
,2010,"9,676",,,,
Mono,1999,"12,604",,,,
,2000,"12,855",,,,
,2001,"13,213",,,,
,2002,"13,383",,,,
,2003,"13,574",,,,
,2004,"13,726",,,,
,2005,"13,799",,,,
,2006,"14,151",,,,
,2007,"14,212",,,,
,2008,"14,073",,,,
,2009,"14,075",,,,
,2010,"14,114",,,,
Monterey,1999,"394,653",,,,
,2000,"402,854",,,,
,2001,"406,264",,,,
,2002,"408,599",,,,
,2003,"411,941",,,,
,2004,"411,121",,,,
,2005,"407,974",,,,
,2006,"405,877",,,,
,2007,"407,896",,,,
,2008,"410,877",,,,
,2009,"413,590",,,,
,2010,"415,825",,,,
Napa,1999,"122,788",,,,
,2000,"124,601",,,,
,2001,"126,188",,,,
,2002,"127,942",,,,
,2003,"129,422",,,,
,2004,"130,204",,,,
,2005,"130,740",,,,
,2006,"131,920",,,,
,2007,"133,155",,,,
,2008,"134,786",,,,
,2009,"135,664",,,,
,2010,"136,681",,,,
Nevada,1999,"90,860",,,,
,2000,"91,872",,,,
,2001,"93,515",,,,
,2002,"94,580",,,,
,2003,"95,974",,,,
,2004,"97,107",,,,
,2005,"97,802",,,,
,2006,"98,334",,,,
,2007,"98,480",,,,
,2008,"98,680",,,,
,2009,"98,432",,,,
,2010,"98,484",,,,
Orange,1999,"2,802,818",,,,
,2000,"2,853,893",,,,
,2001,"2,889,908",,,,
,2002,"2,914,438",,,,
,2003,"2,939,719",,,,
,2004,"2,956,482",,,,
,2005,"2,957,151",,,,
,2006,"2,955,433",,,,
,2007,"2,965,823",,,,
,2008,"2,982,788",,,,
,2009,"2,998,816",,,,
,2010,"3,017,089",,,,
Placer,1999,"243,339",,,,
,2000,"251,731",,,,
,2001,"264,925",,,,
,2002,"276,817",,,,
,2003,"290,655",,,,
,2004,"302,815",,,,
,2005,"312,630",,,,
,2006,"322,270",,,,
,2007,"329,719",,,,
,2008,"337,914",,,,
,2009,"344,088",,,,
,2010,"350,609",,,,
