county,years,gang_killings,guns_involved,murders,passion_murder,solved,youth_murder,pop,unsolved_percentage,murder_per_100_thousand,percentage_gang_killings,percentage_passion,percentage_other,year_code,county_code,percentage_solved
Del Norte,1987,0,2,2,0,1,0,20000,50.0,10.0,0.0,0.0,100.0,8,41,50.0
Tulare,1987,0,26,36,12,29,12,292700,19.44444444,12.29928254,0.0,33.33333333,66.66666667,8,42,80.55555555555556
Ventura,1987,0,10,20,7,15,6,627000,25.0,3.189792663,0.0,35.0,65.0,8,43,75.0
Alpine,1987,0,0,0,0,0,0,1100,0.0,0.0,0.0,0.0,0.0,8,44,
Yolo,1987,0,8,9,2,6,0,128200,33.33333333,7.020280811,0.0,22.22222222,77.77777778,8,45,66.66666666666666
Alameda,1987,0,104,173,39,106,63,1228800,38.7283237,14.07877604,0.0,22.5433526,77.45664740000002,8,46,61.271676300578044
Yuba,1987,0,3,4,3,4,1,54600,0.0,7.326007326,0.0,75.0,25.0,8,47,100.0
Tuolumne,1987,0,2,4,1,4,2,43900,0.0,9.111617312,0.0,25.0,75.0,8,48,100.0
Tehama,1987,0,1,3,2,3,1,45700,0.0,6.564551422,0.0,66.66666667,33.33333333,8,49,100.0
Merced,1987,0,4,8,3,7,1,162900,12.5,4.910988336,0.0,37.5,62.5,8,50,87.5
Santa Barbara,1987,0,4,13,5,9,1,351200,30.76923077,3.701594533,0.0,38.46153846,61.53846154,8,51,69.23076923076923
San Francisco,1987,2,41,106,26,65,21,735900,38.67924528,14.404131,1.886792453,24.52830189,73.58490566,8,52,61.320754716981135
San Bernardino,1987,8,97,153,61,107,42,1189800,30.06535948,12.85930408,5.22875817,39.86928105,54.90196078,8,53,69.93464052287581
Amador,1987,0,0,4,1,1,0,24000,75.0,16.66666667,0.0,25.0,75.0,8,54,25.0
Humboldt,1987,0,4,6,3,5,0,112700,16.66666667,5.323868678,0.0,50.0,50.0,8,55,83.33333333333334
Los Angeles,1987,286,1017,1518,453,927,542,8527400,38.93280632,17.80144006,18.84057971,29.84189723,51.31752306,8,56,61.06719367588933
Kern,1987,0,32,66,17,43,15,497900,34.84848485,13.25567383,0.0,25.75757576,74.24242424,8,57,65.15151515151516
Santa Clara,1987,0,20,52,24,43,7,1433800,17.30769231,3.626726182,0.0,46.15384615,53.84615385,8,58,82.69230769230771
Placer,1988,0,8,11,5,11,1,157400,0.0,6.988564168,0.0,45.45454545,54.54545455,9,1,100.0
Modoc,1988,0,1,1,1,1,0,9200,0.0,10.86956522,0.0,100.0,0.0,9,2,100.0
Sutter,1988,0,1,5,2,2,1,61200,60.0,8.169934641000001,0.0,40.0,60.0,9,3,40.0
Colusa,1988,0,1,1,0,1,0,15300,0.0,6.5359477120000005,0.0,0.0,100.0,9,4,100.0
San Mateo,1988,0,22,31,7,25,6,633700,19.35483871,4.891904687,0.0,22.58064516,77.41935484,9,5,80.64516129032258
Monterey,1988,0,8,12,2,11,5,343000,8.333333332999999,3.498542274,0.0,16.66666667,83.33333333,9,6,91.66666666666666
Nevada,1988,0,2,2,1,2,0,72800,0.0,2.747252747,0.0,50.0,50.0,9,7,100.0
Mono,1988,0,0,0,0,0,0,9100,0.0,0.0,0.0,0.0,0.0,9,8,
San Joaquin,1988,4,40,68,21,59,18,461400,13.23529412,14.73775466,5.8823529410000015,30.88235294,63.23529412,9,9,86.76470588235294
Riverside,1988,3,41,87,26,67,28,1018000,22.98850575,8.546168959,3.448275862,29.88505747,66.66666667,9,10,77.01149425287356
Sacramento,1988,1,67,118,39,98,32,981700,16.94915254,12.01996537,0.847457627,33.05084746,66.10169492,9,11,83.0508474576271
San Luis Obispo,1988,0,1,3,2,3,2,201400,0.0,1.489572989,0.0,66.66666667,33.33333333,9,12,100.0
Siskiyou,1988,0,1,3,0,2,1,42000,33.33333333,7.142857143,0.0,0.0,100.0,9,13,66.66666666666666
Plumas,1988,0,1,1,0,0,0,19300,100.0,5.18134715,0.0,0.0,100.0,9,14,0.0
San Benito,1988,0,2,5,1,5,2,34100,0.0,14.6627566,0.0,20.0,80.0,9,15,100.0
El Dorado,1988,0,5,6,2,6,3,114000,0.0,5.263157895,0.0,33.33333333,66.66666667,9,16,100.0
Butte,1988,0,5,6,4,6,3,173400,0.0,3.460207612,0.0,66.66666667,33.33333333,9,17,100.0
Shasta,1988,0,5,11,5,9,2,138200,18.18181818,7.959479016,0.0,45.45454545,54.54545455,9,18,81.81818181818183
Stanislaus,1988,0,10,18,6,14,2,338300,22.22222222,5.320721253,0.0,33.33333333,66.66666667,9,19,77.7777777777778
Kings,1988,0,1,4,1,3,1,92800,25.0,4.310344828,0.0,25.0,75.0,9,20,75.0
Sonoma,1988,0,9,20,12,17,3,365500,15.0,5.471956224,0.0,60.0,40.0,9,21,85.0
Glenn,1988,0,0,0,0,0,0,23500,0.0,0.0,0.0,0.0,0.0,9,22,
Sierra,1988,0,0,1,0,1,0,3300,0.0,30.303030300000003,0.0,0.0,100.0,9,23,100.0
Lake,1988,0,3,4,3,4,1,48200,0.0,8.298755187000001,0.0,75.0,25.0,9,24,100.0
Lassen,1988,0,2,2,0,1,1,27200,50.0,7.352941176,0.0,0.0,100.0,9,25,50.0
