county,years,gang_killings,guns_involved,murders,passion_murder,solved,youth_murder,pop,unsolved_percentage,murder_per_100_thousand,percentage_gang_killings,percentage_passion,percentage_other,year_code,county_code,percentage_solved
Marin,1988,0,4,6,1,5,1,223000,16.66666667,2.69058296,0.0,16.66666667,83.33333333,9,32,83.33333333333334
Santa Cruz,1988,0,3,11,3,7,2,221000,36.36363636,4.977375566,0.0,27.27272727,72.72727273,9,33,63.63636363636363
Inyo,1988,0,1,2,1,2,0,17900,0.0,11.17318436,0.0,50.0,50.0,9,34,100.0
Fresno,1988,0,39,70,16,53,17,627500,24.28571429,11.15537849,0.0,22.85714286,77.14285714,9,35,75.71428571428571
San Diego,1988,16,140,251,54,166,76,2341000,33.86454183,10.72191371,6.374501992000001,21.51394422,72.11155378,9,36,66.13545816733067
Madera,1988,0,2,8,3,7,3,81300,12.5,9.840098401,0.0,37.5,62.5,9,37,87.5
Trinity,1988,0,2,2,1,2,0,13000,0.0,15.38461538,0.0,50.0,50.0,9,38,100.0
Mendocino,1988,0,6,9,4,7,1,76800,22.22222222,11.71875,0.0,44.44444444,55.55555556,9,39,77.7777777777778
Napa,1988,0,3,6,5,5,0,106100,16.66666667,5.655042412999999,0.0,83.33333333,16.66666667,9,40,83.33333333333334
Del Norte,1988,0,4,5,2,3,0,20900,40.0,23.92344498,0.0,40.0,60.0,9,41,60.0
Tulare,1988,0,10,32,8,22,7,299200,31.25,10.69518717,0.0,25.0,75.0,9,42,68.75
Ventura,1988,0,15,28,9,22,5,645000,21.42857143,4.341085271,0.0,32.14285714,67.85714286,9,43,78.57142857142857
Alpine,1988,0,0,1,1,1,1,1100,0.0,90.90909091,0.0,100.0,0.0,9,44,100.0
Yolo,1988,0,5,10,7,8,0,132900,20.0,7.524454477000001,0.0,70.0,30.0,9,45,80.0
Alameda,1988,4,109,166,41,113,48,1250600,31.92771084,13.27362866,2.4096385540000003,24.69879518,72.89156627,9,46,68.07228915662651
Yuba,1988,0,1,3,1,2,0,55800,33.33333333,5.3763440860000005,0.0,33.33333333,66.66666667,9,47,66.66666666666666
Tuolumne,1988,0,0,1,1,1,0,45400,0.0,2.202643172,0.0,100.0,0.0,9,48,100.0
Tehama,1988,0,3,4,1,4,1,46900,0.0,8.528784648,0.0,25.0,75.0,9,49,100.0
Merced,1988,0,4,7,3,5,1,167800,28.57142857,4.171632896,0.0,42.85714286,57.14285714,9,50,71.42857142857143
Santa Barbara,1988,0,13,24,7,20,6,354600,16.66666667,6.768189509,0.0,29.16666667,70.83333333,9,51,83.33333333333334
San Francisco,1988,4,43,95,18,77,17,730100,18.94736842,13.01191618,4.210526316,18.94736842,76.84210526,9,52,81.05263157894737
San Bernardino,1988,7,98,148,50,117,34,1269500,20.94594595,11.65813312,4.72972973,33.78378378,61.48648649,9,53,79.05405405405406
Amador,1988,0,0,0,0,0,0,26400,0.0,0.0,0.0,0.0,0.0,9,54,
Humboldt,1988,0,10,10,6,9,2,114700,10.0,8.718395815,0.0,60.0,40.0,9,55,90.0
Los Angeles,1988,262,992,1424,374,1004,500,8639400,29.49438202,16.48262611,18.3988764,26.26404494,55.33707865,9,56,70.50561797752809
Kern,1988,1,39,72,23,53,19,511200,26.38888889,14.08450704,1.388888889,31.94444444,66.66666667,9,57,73.6111111111111
Santa Clara,1988,0,34,72,22,58,16,1456600,19.44444444,4.943017987,0.0,30.55555556,69.44444444,9,58,80.55555555555556
Placer,1989,0,2,2,2,2,0,164600,0.0,1.215066829,0.0,100.0,0.0,10,1,100.0
Modoc,1989,0,1,1,1,1,0,9400,0.0,10.63829787,0.0,100.0,0.0,10,2,100.0
Sutter,1989,0,4,6,4,5,1,62400,16.66666667,9.615384615,0.0,66.66666667,33.33333333,10,3,83.33333333333334
Colusa,1989,0,0,0,0,0,0,15900,0.0,0.0,0.0,0.0,0.0,10,4,
San Mateo,1989,3,21,35,13,21,7,642600,40.0,5.446623094,8.571428571,37.14285714,54.28571429,10,5,60.0
Monterey,1989,1,14,26,11,22,5,346600,15.38461538,7.501442585,3.846153846,42.30769231,53.84615385,10,6,84.61538461538461
Nevada,1989,0,2,2,1,2,0,75300,0.0,2.656042497,0.0,50.0,50.0,10,7,100.0
Mono,1989,0,0,0,0,0,0,9300,0.0,0.0,0.0,0.0,0.0,10,8,
San Joaquin,1989,7,44,65,17,52,18,471500,20.0,13.78579003,10.76923077,26.15384615,63.07692308,10,9,80.0
Riverside,1989,6,71,122,44,88,36,1096500,27.86885246,11.12631099,4.918032787,36.06557377,59.01639344,10,10,72.13114754098359
Sacramento,1989,7,66,84,30,69,30,1011800,17.85714286,8.302035975,8.333333332999999,35.71428571,55.95238095,10,11,82.14285714285714
San Luis Obispo,1989,0,3,6,2,6,0,210500,0.0,2.850356295,0.0,33.33333333,66.66666667,10,12,100.0
Siskiyou,1989,0,1,1,1,1,0,42800,0.0,2.336448598,0.0,100.0,0.0,10,13,100.0
Plumas,1989,0,0,0,0,0,0,19300,0.0,0.0,0.0,0.0,0.0,10,14,
San Benito,1989,0,1,1,0,1,0,35900,0.0,2.78551532,0.0,0.0,100.0,10,15,100.0
El Dorado,1989,0,2,4,1,3,1,119700,25.0,3.341687552,0.0,25.0,75.0,10,16,75.0
Butte,1989,0,8,12,9,12,4,176900,0.0,6.783493499,0.0,75.0,25.0,10,17,100.0
Shasta,1989,0,3,4,1,3,0,141800,25.0,2.820874471,0.0,25.0,75.0,10,18,75.0
Stanislaus,1989,1,17,23,9,20,3,354200,13.04347826,6.493506494,4.347826087,39.13043478,56.52173913,10,19,86.95652173913044
Kings,1989,0,0,2,2,2,1,98300,0.0,2.034587996,0.0,100.0,0.0,10,20,100.0
Sonoma,1989,0,7,22,14,20,3,377200,9.090909091,5.832449629,0.0,63.63636364,36.36363636,10,21,90.9090909090909
Glenn,1989,0,2,3,3,3,0,24200,0.0,12.39669421,0.0,100.0,0.0,10,22,100.0
Sierra,1989,0,1,1,0,0,0,3200,100.0,31.25,0.0,0.0,100.0,10,23,0.0
Lake,1989,0,4,6,4,6,2,49200,0.0,12.19512195,0.0,66.66666667,33.33333333,10,24,100.0
Lassen,1989,0,1,1,0,1,1,26900,0.0,3.717472119,0.0,0.0,100.0,10,25,100.0
Mariposa,1989,0,0,1,1,1,0,13600,0.0,7.352941176,0.0,100.0,0.0,10,26,100.0
Solano,1989,3,16,25,7,23,5,325200,8.0,7.687576876,12.0,28.0,60.0,10,27,92.0
Orange,1989,19,118,160,49,110,55,2372400,31.25,6.744225257,11.875,30.625,57.5,10,28,68.75
Imperial,1989,0,4,6,4,6,2,106100,0.0,5.655042412999999,0.0,66.66666667,33.33333333,10,29,100.0
Contra Costa,1989,1,65,81,24,57,21,785000,29.62962963,10.31847134,1.234567901,29.62962963,69.13580247,10,30,70.37037037037038
Calaveras,1989,0,0,1,1,1,0,30600,0.0,3.267973856,0.0,100.0,0.0,10,31,100.0
Marin,1989,0,4,6,4,5,1,227000,16.66666667,2.643171806,0.0,66.66666667,33.33333333,10,32,83.33333333333334
Santa Cruz,1989,0,3,12,8,8,3,227700,33.33333333,5.270092227,0.0,66.66666667,33.33333333,10,33,66.66666666666666
Inyo,1989,0,0,3,0,2,1,18000,33.33333333,16.66666667,0.0,0.0,100.0,10,34,66.66666666666666
Fresno,1989,4,43,71,22,54,16,649000,23.94366197,10.93990755,5.633802817,30.98591549,63.38028169,10,35,76.05633802816901
San Diego,1989,12,129,218,58,157,54,2432800,27.98165138,8.960868135,5.504587156,26.60550459,67.88990826,10,36,72.0183486238532
Madera,1989,0,6,16,8,12,7,83000,25.0,19.27710843,0.0,50.0,50.0,10,37,75.0
Trinity,1989,0,0,0,0,0,0,13000,0.0,0.0,0.0,0.0,0.0,10,38,
Mendocino,1989,0,6,7,2,6,2,78500,14.28571429,8.917197452,0.0,28.57142857,71.42857143,10,39,85.71428571428571
Napa,1989,0,0,5,4,4,0,108100,20.0,4.625346901,0.0,80.0,20.0,10,40,80.0
Del Norte,1989,0,0,1,0,1,0,20400,0.0,4.901960784,0.0,0.0,100.0,10,41,100.0
Tulare,1989,0,16,27,7,24,9,304000,11.11111111,8.881578947000001,0.0,25.92592593,74.07407407,10,42,88.8888888888889
Ventura,1989,2,10,23,6,19,6,662000,17.39130435,3.474320242,8.695652174,26.08695652,65.21739129999999,10,43,82.6086956521739
Alpine,1989,0,0,0,0,0,0,1100,0.0,0.0,0.0,0.0,0.0,10,44,
Yolo,1989,0,2,13,7,9,4,137100,30.76923077,9.482129832,0.0,53.84615385,46.15384615,10,45,69.23076923076923
Alameda,1989,6,123,191,36,131,62,1271000,31.41361257,15.02753737,3.141361257,18.84816754,78.01047120000001,10,46,68.58638743455498
Yuba,1989,0,10,14,8,11,0,56700,21.42857143,24.69135802,0.0,57.14285714,42.85714286,10,47,78.57142857142857
Tuolumne,1989,0,0,0,0,0,0,47000,0.0,0.0,0.0,0.0,0.0,10,48,
Tehama,1989,0,1,2,2,2,0,48000,0.0,4.166666667,0.0,100.0,0.0,10,49,100.0
Merced,1989,0,6,10,2,8,2,172000,20.0,5.813953487999999,0.0,20.0,80.0,10,50,80.0
Santa Barbara,1989,0,2,7,4,7,1,364700,0.0,1.919385797,0.0,57.14285714,42.85714286,10,51,100.0
San Francisco,1989,6,40,77,11,55,18,724500,28.57142857,10.62801932,7.792207792,14.28571429,77.92207792,10,52,71.42857142857143
San Bernardino,1989,16,128,188,72,150,65,1353000,20.21276596,13.89504804,8.510638298,38.29787234,53.19148936,10,53,79.78723404255321
Amador,1989,0,1,1,0,1,0,28300,0.0,3.533568905,0.0,0.0,100.0,10,54,100.0
Humboldt,1989,0,3,4,1,2,0,117000,50.0,3.418803419,0.0,25.0,75.0,10,55,50.0
Los Angeles,1989,435,1211,1695,440,1272,647,8768700,24.95575221,19.33011735,25.66371681,25.95870206,48.37758112,10,56,75.04424778761063
Kern,1989,0,27,52,19,39,14,525100,25.0,9.902875643,0.0,36.53846154,63.46153846,10,57,75.0
Santa Clara,1989,0,32,66,31,56,14,1485400,15.15151515,4.44324761,0.0,46.96969697,53.03030303,10,58,84.84848484848484
Placer,1990,0,8,11,4,7,1,174900,36.36363636,6.2893081760000005,0.0,36.36363636,63.63636364,11,1,63.63636363636363
Modoc,1990,0,1,1,1,1,0,9685,0.0,10.32524522,0.0,100.0,0.0,11,2,100.0
Sutter,1990,0,4,6,3,3,0,64800,50.0,9.259259259,0.0,50.0,50.0,11,3,50.0
Colusa,1990,0,1,1,0,1,1,16300,0.0,6.134969325,0.0,0.0,100.0,11,4,100.0
San Mateo,1990,2,29,41,10,28,11,648200,31.70731707,6.325208269,4.87804878,24.3902439,70.73170732,11,5,68.29268292682927
Monterey,1990,4,14,29,8,20,14,356800,31.03448276,8.127802691,13.79310345,27.5862069,58.62068966,11,6,68.96551724137932
Nevada,1990,0,0,0,0,0,0,79000,0.0,0.0,0.0,0.0,0.0,11,7,
Mono,1990,0,0,0,0,0,0,10100,0.0,0.0,0.0,0.0,0.0,11,8,
San Joaquin,1990,8,52,87,29,76,26,481900,12.64367816,18.05353808,9.195402299,33.33333333,57.47126437,11,9,87.35632183908045
Riverside,1990,8,90,143,46,103,40,1188300,27.97202797,12.03399815,5.594405594,32.16783217,62.23776224,11,10,72.02797202797203
Sacramento,1990,1,58,93,36,77,25,1046900,17.20430108,8.883369949,1.075268817,38.70967742,60.21505376,11,11,82.79569892473118
San Luis Obispo,1990,0,5,11,4,8,1,217800,27.27272727,5.050505051,0.0,36.36363636,63.63636364,11,12,72.72727272727273
Siskiyou,1990,0,2,3,3,3,0,43650,0.0,6.872852234,0.0,100.0,0.0,11,13,100.0
Plumas,1990,0,0,2,0,0,0,19800,100.0,10.1010101,0.0,0.0,100.0,11,14,0.0
San Benito,1990,0,1,1,1,1,1,36900,0.0,2.7100271,0.0,100.0,0.0,11,15,100.0
El Dorado,1990,0,4,10,4,9,4,127300,10.0,7.855459543999999,0.0,40.0,60.0,11,16,90.0
Butte,1990,0,8,14,3,12,3,183200,14.28571429,7.641921397000001,0.0,21.42857143,78.57142857,11,17,85.71428571428571
Shasta,1990,0,5,6,3,6,0,148000,0.0,4.054054054,0.0,50.0,50.0,11,18,100.0
Stanislaus,1990,1,17,28,12,24,11,373600,14.28571429,7.494646681,3.571428571,42.85714286,53.57142857,11,19,85.71428571428571
Kings,1990,0,0,5,3,3,0,101900,40.0,4.906771344,0.0,60.0,40.0,11,20,60.0
Sonoma,1990,0,6,19,7,17,2,389500,10.52631579,4.87804878,0.0,36.84210526,63.15789474,11,21,89.47368421052632
Glenn,1990,0,0,0,0,0,0,24850,0.0,0.0,0.0,0.0,0.0,11,22,
Sierra,1990,0,0,0,0,0,0,3320,0.0,0.0,0.0,0.0,0.0,11,23,
Lake,1990,0,2,5,2,5,1,51000,0.0,9.803921569,0.0,40.0,60.0,11,24,100.0
Lassen,1990,0,1,4,3,3,0,27700,25.0,14.44043321,0.0,75.0,25.0,11,25,75.0
Mariposa,1990,0,5,5,0,3,0,14400,40.0,34.72222222,0.0,0.0,100.0,11,26,60.0
Solano,1990,1,8,17,4,13,5,342500,23.52941176,4.96350365,5.8823529410000015,23.52941176,70.58823529,11,27,76.47058823529412
Orange,1990,28,115,166,39,108,66,2412000,34.93975904,6.88225539,16.86746988,23.4939759,59.63855422,11,28,65.06024096385542
Imperial,1990,0,4,12,6,8,1,110100,33.33333333,10.89918256,0.0,50.0,50.0,11,29,66.66666666666666
Contra Costa,1990,2,49,74,22,51,33,806300,31.08108108,9.177725412000001,2.702702703,29.72972973,67.56756757,11,30,68.91891891891892
Calaveras,1990,0,2,4,2,3,1,32450,25.0,12.32665639,0.0,50.0,50.0,11,31,75.0
Marin,1990,0,1,4,1,3,0,229900,25.0,1.7398869069999998,0.0,25.0,75.0,11,32,75.0
Santa Cruz,1990,1,6,11,4,7,3,229300,36.36363636,4.797208897,9.090909091,36.36363636,54.54545455,11,33,63.63636363636363
Inyo,1990,0,0,0,0,0,0,18200,0.0,0.0,0.0,0.0,0.0,11,34,
Fresno,1990,4,58,100,25,80,30,670200,20.0,14.92091913,4.0,25.0,71.0,11,35,80.0
San Diego,1990,10,137,246,57,155,81,2504900,36.99186992,9.820751327,4.06504065,23.17073171,72.76422764,11,36,63.00813008130082
Madera,1990,0,6,15,2,9,4,88500,40.0,16.94915254,0.0,13.33333333,86.66666667,11,37,60.0
Trinity,1990,0,0,0,0,0,0,13000,0.0,0.0,0.0,0.0,0.0,11,38,
Mendocino,1990,0,7,9,4,9,3,80600,0.0,11.1662531,0.0,44.44444444,55.55555556,11,39,100.0
Napa,1990,0,1,5,2,3,0,111000,40.0,4.504504505,0.0,40.0,60.0,11,40,60.0
Del Norte,1990,0,1,1,1,1,0,24450,0.0,4.08997955,0.0,100.0,0.0,11,41,100.0
Tulare,1990,0,19,28,8,19,9,313100,32.14285714,8.942829767000001,0.0,28.57142857,71.42857143,11,42,67.85714285714286
Ventura,1990,1,13,20,10,19,4,669100,5.0,2.989089822,5.0,50.0,45.0,11,43,95.0
Alpine,1990,0,0,0,0,0,0,1090,0.0,0.0,0.0,0.0,0.0,11,44,
Yolo,1990,0,9,12,3,10,3,141800,16.66666667,8.462623413,0.0,25.0,75.0,11,45,83.33333333333334
Alameda,1990,2,147,209,40,143,76,1276100,31.57894737,16.3780268,0.956937799,19.13875598,79.90430622,11,46,68.42105263157895
Yuba,1990,0,3,8,1,7,0,58600,12.5,13.65187713,0.0,12.5,87.5,11,47,87.5
Tuolumne,1990,0,2,3,2,3,0,48700,0.0,6.160164271,0.0,66.66666667,33.33333333,11,48,100.0
Tehama,1990,0,2,3,0,3,0,49850,0.0,6.018054162,0.0,0.0,100.0,11,49,100.0
Merced,1990,0,6,15,5,12,5,179400,20.0,8.361204013,0.0,33.33333333,66.66666667,11,50,80.0
Santa Barbara,1990,0,5,11,3,8,1,369000,27.27272727,2.98102981,0.0,27.27272727,72.72727273,11,51,72.72727272727273
San Francisco,1990,13,69,110,12,66,31,723200,40.0,15.21017699,11.81818182,10.90909091,77.27272727,11,52,60.0
San Bernardino,1990,27,159,215,56,153,77,1432100,28.8372093,15.01291809,12.55813953,26.04651163,61.39534884,11,53,71.16279069767441
Amador,1990,0,0,0,0,0,0,30450,0.0,0.0,0.0,0.0,0.0,11,54,
Humboldt,1990,0,5,11,3,6,4,119400,45.45454545,9.212730318,0.0,27.27272727,72.72727273,11,55,54.54545454545454
Los Angeles,1990,527,1428,1900,373,1319,788,8860300,30.57894737,21.44396917,27.73684211,19.63157895,52.63157895,11,56,69.42105263157895
Kern,1990,3,43,67,17,57,14,548000,14.92537313,12.22627737,4.47761194,25.37313433,70.14925373,11,57,85.07462686567165
Santa Clara,1990,0,30,61,21,44,12,1495300,27.86885246,4.07944894,0.0,34.42622951,65.57377049,11,58,72.13114754098359
Placer,1991,0,3,6,1,2,0,183630,66.66666667,3.2674399610000004,0.0,16.66666667,83.33333333,12,1,33.33333333333333
Modoc,1991,0,0,0,0,0,0,9773,0.0,0.0,0.0,0.0,0.0,12,2,
Sutter,1991,0,4,8,2,6,3,67518,25.0,11.8486922,0.0,25.0,75.0,12,3,75.0
Colusa,1991,0,0,1,1,1,0,16694,0.0,5.990176111,0.0,100.0,0.0,12,4,100.0
San Mateo,1991,1,36,48,10,23,16,653943,52.08333333,7.3400892739999986,2.083333333,20.83333333,77.08333333,12,5,47.91666666666667
Monterey,1991,3,11,26,4,17,8,365677,34.61538462,7.110099897,11.53846154,15.38461538,73.07692308,12,6,65.38461538461539
Nevada,1991,0,2,2,1,1,0,82094,50.0,2.436231637,0.0,50.0,50.0,12,7,50.0
Mono,1991,0,0,0,0,0,0,10246,0.0,0.0,0.0,0.0,0.0,12,8,
San Joaquin,1991,10,48,70,14,45,24,493965,35.71428571,14.17104451,14.28571429,20.0,65.71428571,12,9,64.28571428571429
Riverside,1991,14,103,166,35,108,47,1254676,34.93975904,13.23050732,8.43373494,21.08433735,70.48192771,12,10,65.06024096385542
Sacramento,1991,6,97,136,31,88,38,180078,35.29411765,75.522829,4.4117647060000005,22.79411765,72.79411765,12,11,64.70588235294117
San Luis Obispo,1991,0,2,4,0,3,2,220815,25.0,1.811471141,0.0,0.0,100.0,12,12,75.0
Siskiyou,1991,0,2,3,2,2,1,44048,33.33333333,6.810751907,0.0,66.66666667,33.33333333,12,13,66.66666666666666
Plumas,1991,0,3,6,2,6,1,20166,0.0,29.75304969,0.0,33.33333333,66.66666667,12,14,100.0
San Benito,1991,0,1,1,0,1,1,37907,0.0,2.638035191,0.0,0.0,100.0,12,15,100.0
El Dorado,1991,0,6,14,7,14,0,133089,0.0,10.51927657,0.0,50.0,50.0,12,16,100.0
Butte,1991,0,5,12,4,11,2,187561,8.333333332999999,6.397918544,0.0,33.33333333,66.66666667,12,17,91.66666666666666
Shasta,1991,0,5,11,5,7,1,153776,36.36363636,7.153261887,0.0,45.45454545,54.54545455,12,18,63.63636363636363
Stanislaus,1991,2,16,26,4,18,8,388134,30.76923077,6.698717453,7.692307692000001,15.38461538,76.92307692,12,19,69.23076923076923
Kings,1991,0,3,7,4,6,2,105828,14.28571429,6.614506558,0.0,57.14285714,42.85714286,12,20,85.71428571428571
Sonoma,1991,1,9,20,3,13,4,398670,35.0,5.016680463,5.0,15.0,80.0,12,21,65.0
Glenn,1991,0,0,2,1,2,0,25318,0.0,7.899518129,0.0,50.0,50.0,12,22,100.0
Sierra,1991,0,0,0,0,0,0,3326,0.0,0.0,0.0,0.0,0.0,12,23,
Lake,1991,0,4,7,4,5,1,53052,28.57142857,13.19460152,0.0,57.14285714,42.85714286,12,24,71.42857142857143
Lassen,1991,0,0,0,0,0,0,28217,0.0,0.0,0.0,0.0,0.0,12,25,
Mariposa,1991,0,0,0,0,0,0,15026,0.0,0.0,0.0,0.0,0.0,12,26,
Solano,1991,1,25,35,6,24,11,356397,31.42857143,9.820509151,2.857142857,17.14285714,80.0,12,27,68.57142857142857
Orange,1991,30,119,164,34,87,67,2458797,46.95121951,6.669928424,18.29268293,20.73170732,60.97560976,12,28,53.04878048780488
Imperial,1991,1,6,10,4,6,4,115211,40.0,8.679726762,10.0,40.0,50.0,12,29,60.0
Contra Costa,1991,6,90,113,26,66,48,823658,41.59292035,13.7192864,5.309734513,23.00884956,71.68141593,12,30,58.407079646017706
Calaveras,1991,0,2,3,1,3,1,34507,0.0,8.693888197,0.0,33.33333333,66.66666667,12,31,100.0
Marin,1991,0,6,11,5,10,2,233078,9.090909091,4.719450141,0.0,45.45454545,54.54545455,12,32,90.9090909090909
Santa Cruz,1991,2,13,16,2,12,4,231258,25.0,6.91867957,12.5,12.5,75.0,12,33,75.0
Inyo,1991,0,0,0,0,0,0,18298,0.0,0.0,0.0,0.0,0.0,12,34,
Fresno,1991,8,54,92,23,70,33,695373,23.91304348,13.23030949,8.695652174,25.0,66.30434783,12,35,76.08695652173914
San Diego,1991,31,169,293,53,166,91,2554581,43.3447099,11.4695913,10.58020478,18.0887372,71.33105802,12,36,56.65529010238907
Madera,1991,0,3,6,2,4,2,95256,33.33333333,6.298815822999999,0.0,33.33333333,66.66666667,12,37,66.66666666666666
Trinity,1991,0,0,1,1,1,0,13091,0.0,7.6388358410000015,0.0,100.0,0.0,12,38,100.0
Mendocino,1991,0,2,2,1,2,0,81847,0.0,2.44358376,0.0,50.0,50.0,12,39,100.0
Napa,1991,0,2,5,2,0,0,112467,100.0,4.445748531,0.0,40.0,60.0,12,40,0.0
Del Norte,1991,0,2,4,3,4,1,26567,0.0,15.05627282,0.0,75.0,25.0,12,41,100.0
Tulare,1991,1,23,38,8,30,15,323847,21.05263158,11.73393609,2.631578947,21.05263158,76.31578947,12,42,78.94736842105263
Ventura,1991,4,25,41,11,29,17,676944,29.26829268,6.056630977,9.756097561,26.82926829,63.41463415,12,43,70.73170731707317
Alpine,1991,0,0,0,0,0,0,1121,0.0,0.0,0.0,0.0,0.0,12,44,
Yolo,1991,0,4,10,4,8,4,145890,20.0,6.854479402000001,0.0,40.0,60.0,12,45,80.0
Alameda,1991,10,149,211,45,122,79,1293363,42.18009479,16.31405878,4.739336493,21.32701422,73.93364929,12,46,57.81990521327014
Yuba,1991,1,1,5,1,5,2,60125,0.0,8.316008316,20.0,20.0,60.0,12,47,100.0
Tuolumne,1991,0,6,7,1,6,1,50428,14.28571429,13.88117712,0.0,14.28571429,85.71428571,12,48,85.71428571428571
Tehama,1991,0,2,2,1,2,0,51600,0.0,3.875968992,0.0,50.0,50.0,12,49,100.0
Merced,1991,0,4,10,1,8,5,186239,20.0,5.369444637999999,0.0,10.0,90.0,12,50,80.0
Santa Barbara,1991,0,12,19,13,18,3,374833,5.263157895,5.0689240280000005,0.0,68.42105263,31.57894737,12,51,94.73684210526315
San Francisco,1991,8,64,103,23,56,32,725869,45.63106796,14.18988826,7.766990291,22.33009709,69.90291262,12,52,54.368932038834956
San Bernardino,1991,30,155,230,76,153,82,1496611,33.47826087,15.36805489,13.04347826,33.04347826,53.91304348,12,53,66.52173913043478
Amador,1991,0,0,0,0,0,0,31641,0.0,0.0,0.0,0.0,0.0,12,54,
Humboldt,1991,0,3,9,2,7,0,121433,22.22222222,7.411494404,0.0,22.22222222,77.77777778,12,55,77.7777777777778
Los Angeles,1991,562,1552,1984,363,1218,857,8955322,38.60887097,22.15442393,28.3266129,18.29637097,53.37701613,12,56,61.391129032258064
Kern,1991,3,39,63,13,50,27,571684,20.63492063,11.02007403,4.761904762,20.63492063,74.60317459999997,12,57,79.36507936507937
Santa Clara,1991,4,40,83,27,56,16,1508050,32.53012048,5.503796293,4.8192771080000005,32.53012048,62.65060241,12,58,67.46987951807229
Placer,1992,0,3,3,0,1,1,190810,66.66666667,1.572244641,0.0,0.0,100.0,13,1,33.33333333333333
Modoc,1992,0,1,2,1,2,1,9941,0.0,20.11870033,0.0,50.0,50.0,13,2,100.0
Sutter,1992,0,2,4,1,2,1,69685,50.0,5.7401162370000005,0.0,25.0,75.0,13,3,50.0
Colusa,1992,0,1,1,0,1,0,16983,0.0,5.888241182000001,0.0,0.0,100.0,13,4,100.0
San Mateo,1992,5,42,56,9,21,20,661990,62.5,8.459342286,8.928571429,16.07142857,75.0,13,5,37.5
Monterey,1992,6,24,36,7,27,15,372322,25.0,9.669049908,16.66666667,19.44444444,63.88888889,13,6,75.0
Nevada,1992,0,1,2,0,1,0,83509,50.0,2.394951442,0.0,0.0,100.0,13,7,50.0
Mono,1992,0,0,0,0,0,0,10498,0.0,0.0,0.0,0.0,0.0,13,8,
San Joaquin,1992,8,48,75,17,51,29,503273,32.0,14.90244857,10.66666667,22.66666667,66.66666667,13,9,68.0
Riverside,1992,10,94,142,45,103,47,1296463,27.46478873,10.95287717,7.042253521,31.69014085,61.26760563,13,10,72.53521126760563
Sacramento,1992,7,74,105,21,74,36,196607,29.52380952,53.40603336,6.666666667,20.0,73.33333333,13,11,70.47619047619048
San Luis Obispo,1992,0,8,10,3,10,1,223079,0.0,4.482716885,0.0,30.0,70.0,13,12,100.0
Siskiyou,1992,0,4,5,5,5,1,44238,0.0,11.30250011,0.0,100.0,0.0,13,13,100.0
Plumas,1992,0,1,1,0,1,0,20764,0.0,4.81602774,0.0,0.0,100.0,13,14,100.0
San Benito,1992,0,0,0,0,0,0,39864,0.0,0.0,0.0,0.0,0.0,13,15,
El Dorado,1992,0,4,9,5,6,3,136719,33.33333333,6.5828451060000015,0.0,55.55555556,44.44444444,13,16,66.66666666666666
Butte,1992,0,7,16,7,15,1,190704,6.25,8.389965601,0.0,43.75,56.25,13,17,93.75
Shasta,1992,0,5,9,4,6,3,156477,33.33333333,5.751644012000001,0.0,44.44444444,55.55555556,13,18,66.66666666666666
Stanislaus,1992,1,26,40,22,35,7,397341,12.5,10.06691985,2.5,55.0,42.5,13,19,87.5
Kings,1992,0,2,4,2,4,0,108709,0.0,3.679548151,0.0,50.0,50.0,13,20,100.0
Sonoma,1992,0,3,7,1,5,1,407011,28.57142857,1.719855237,0.0,14.28571429,85.71428571,13,21,71.42857142857143
Glenn,1992,0,0,0,0,0,0,25757,0.0,0.0,0.0,0.0,0.0,13,22,
Sierra,1992,0,0,0,0,0,0,3364,0.0,0.0,0.0,0.0,0.0,13,23,
Lake,1992,0,3,6,4,5,1,54459,16.66666667,11.01746268,0.0,66.66666667,33.33333333,13,24,83.33333333333334
Lassen,1992,0,0,1,0,1,0,28418,0.0,3.518896474,0.0,0.0,100.0,13,25,100.0
Mariposa,1992,0,0,0,0,0,0,15620,0.0,0.0,0.0,0.0,0.0,13,26,
Solano,1992,1,17,30,12,24,7,361948,20.0,8.288483429,3.333333333,40.0,56.66666667,13,27,80.0
Orange,1992,38,134,183,43,108,72,2511752,40.98360656,7.285751141,20.76502732,23.49726776,55.73770492,13,28,59.016393442622956
Imperial,1992,0,7,15,7,13,2,122788,13.33333333,12.21617748,0.0,46.66666667,53.33333333,13,29,86.66666666666669
Contra Costa,1992,7,69,89,16,53,37,840825,40.4494382,10.58484227,7.865168539,17.97752809,74.15730337,13,30,59.550561797752806
Calaveras,1992,0,4,5,4,4,1,35932,20.0,13.9151731,0.0,80.0,20.0,13,31,80.0
Marin,1992,0,10,11,2,5,1,235668,54.54545455,4.66758321,0.0,18.18181818,81.81818182,13,32,45.45454545454545
Santa Cruz,1992,0,2,6,2,5,2,233912,16.66666667,2.565067205,0.0,33.33333333,66.66666667,13,33,83.33333333333334
Inyo,1992,0,0,0,0,0,0,18284,0.0,0.0,0.0,0.0,0.0,13,34,
Fresno,1992,8,92,138,25,96,60,716140,30.43478261,19.26997514,5.797101449,18.11594203,76.08695652,13,35,69.56521739130434
San Diego,1992,21,186,269,44,163,93,2590242,39.40520446,10.38513004,7.80669145,16.35687732,75.83643123,13,36,60.59479553903346
