Country,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
European Union,35.916,35.684000000000005,35.4,35.2,34.9,34.7,34.384,34.084,33.8,33.5,33.2
Belgium,34.9,34.6,34.4,34.084,33.8,33.6,33.3,33.084,32.9,32.8,32.7
Bulgaria,35.1,35.084,35.016,35.1,35.1,35.216,35.284,35.384,35.384,35.315999999999995,35.0
Denmark,34.0,33.716,33.4,33.1,32.8,32.5,32.315999999999995,32.1,31.816,31.7,31.715999999999998
Germany,35.7,35.284,34.6,34.2,33.884,33.484,33.1,32.9,32.4,32.0,31.6
Estonia,34.815999999999995,34.716,34.616,34.4,34.5,34.684000000000005,34.8,35.0,34.984,35.1,34.916
Ireland,38.484,38.3,38.384,38.1,37.716,37.1,36.716,36.5,36.2,35.8,35.6
Greece,37.1,37.0,36.7,36.315999999999995,35.884,35.5,35.116,34.716,34.216,33.7,33.116
Spain,40.6,40.3,39.9,39.5,38.884,38.216,37.5,36.916,36.3,35.784,35.3
France,33.5,33.216,32.984,32.8,32.516,32.2,32.0,31.7,31.4,31.215999999999998,31.0
Croatia,34.5,34.367,34.2,34.0,33.815999999999995,33.684000000000005,33.484,33.3,33.016,32.684000000000005,32.516
Italy,36.684000000000005,36.3,35.984,35.684000000000005,35.284,35.0,34.5,33.884,33.416,32.884,32.284
Cyprus,36.5,36.716,36.9,37.5,37.584,37.484,36.9,36.616,36.5,36.7,37.084
Latvia,34.9,34.716,34.5,34.4,34.4,34.384,34.3,34.315999999999995,34.184000000000005,34.084,33.784
Lithuania,35.3,34.884,34.084,33.584,33.315999999999995,33.084,32.916,32.884,32.7,32.616,32.7
Luxembourg,38.716,38.616,38.516,38.516,38.484,38.416,38.284,38.266999999999996,38.2,38.116,38.184000000000005
Hungary,35.7,35.815999999999995,35.9,35.4,35.5,35.6,35.7,35.8,35.916,35.9,35.815999999999995
Malta,34.4,34.3,34.0,33.9,33.8,34.2,34.7,35.384,36.016,37.216,38.484
Netherlands,35.2,34.8,34.367,33.916,33.5,33.1,32.733000000000004,32.4,32.2,32.0,31.784000000000002
Austria,37.2,36.9,36.5,36.184000000000005,35.784,35.5,35.2,34.916,34.6,34.315999999999995,34.033
Poland,36.116,35.9,36.0,36.116,36.3,36.4,36.516,36.716,36.916,36.9,36.984
Portugal,36.716,36.616,36.2,35.815999999999995,35.384,34.9,34.484,34.016,33.616,33.315999999999995,32.916
Romania,35.584,35.6,35.7,35.815999999999995,36.284,36.784,37.1,37.216,37.284,36.416,35.567
Slovenia,37.584,37.516,37.2,36.8,36.584,36.3,35.9,35.416,34.9,34.4,34.1
Slovakia,37.9,37.984,38.1,38.184000000000005,38.2,38.216,38.1,38.1,38.1,38.116,38.116
Finland,32.5,32.315999999999995,32.1,31.884,31.6,31.5,31.284000000000002,31.2,31.2,31.2,31.184
Sweden,32.916,32.9,32.8,32.8,32.8,32.784,32.7,32.7,32.8,32.8,32.9
United Kingdom,35.1,34.916,34.684000000000005,34.416,34.2,33.916,33.584,33.416,33.216,33.016,32.8
