Country,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
European Union,15.716,15.684,15.7,15.7,15.7,15.6,15.584,15.584,15.6,15.6,15.5
Belgium,16.9,16.9,17.0,16.984,17.0,17.0,17.0,16.984,17.0,17.0,16.9
Bulgaria,13.1,13.184,13.216,13.4,13.6,13.716,13.884,13.984,14.084,14.216,14.4
Denmark,18.3,18.116,17.9,17.7,17.4,17.2,17.016,16.8,16.715999999999998,16.6,16.516
Germany,13.6,13.484,13.6,13.4,13.284,13.184,13.2,13.2,13.4,13.5,13.6
Estonia,14.916,15.116,15.316,15.5,15.7,15.784,15.9,16.1,16.184,16.3,16.415999999999997
Ireland,20.584000000000003,21.0,21.284000000000002,21.6,21.915999999999997,21.5,21.415999999999997,21.3,21.1,20.8,20.5
Greece,14.6,14.6,14.6,14.716,14.684,14.6,14.516,14.416,14.416,14.4,14.316
Spain,14.8,14.9,15.0,15.1,15.184,15.216,15.2,15.116,15.1,14.984,14.8
France,18.5,18.616,18.584000000000003,18.6,18.616,18.6,18.6,18.4,18.3,18.215999999999998,18.0
Croatia,15.4,15.367,15.3,15.1,14.916,14.784,14.684,14.6,14.516,14.484,14.416
Italy,14.084,14.1,14.084,13.984,13.984,13.9,13.8,13.684,13.516,13.384,13.184
Cyprus,17.7,17.215999999999998,16.8,16.5,16.384,16.284000000000002,16.4,16.415999999999997,16.3,16.2,16.084000000000003
Latvia,14.1,14.216,14.2,14.3,14.4,14.684,15.0,15.216,15.584,15.784,15.884
Lithuania,15.1,14.984,14.884,14.784,14.716,14.584,14.616,14.684,14.8,15.016,15.1
Luxembourg,18.016,17.715999999999998,17.616,17.116,16.984,16.816,16.684,16.467,16.2,16.116,16.084000000000003
Hungary,14.9,14.716,14.6,14.5,14.4,14.4,14.5,14.5,14.516,14.5,14.516
Malta,15.6,15.3,15.0,14.8,14.6,14.4,14.3,14.184,14.116,13.916,13.684
Netherlands,17.7,17.6,17.467,17.316,17.2,16.9,16.733,16.5,16.3,16.1,15.884
Austria,15.1,14.9,14.7,14.584,14.384,14.3,14.3,14.316,14.4,14.416,14.433
Poland,15.316,15.3,15.3,15.116,15.1,15.0,15.016,15.016,15.116,15.2,15.384
Portugal,15.416,15.316,15.1,14.916,14.784,14.6,14.384,14.116,14.016,13.816,13.716
Romania,15.784,15.8,15.8,15.816,15.684,15.484,15.5,15.516,15.584,15.716,15.667
Slovenia,13.984,14.016,14.2,14.3,14.484,14.6,14.8,14.816,14.9,15.0,15.1
Slovakia,15.6,15.484,15.4,15.384,15.4,15.316,15.3,15.3,15.5,15.616,15.716
Finland,16.7,16.616,16.5,16.484,16.4,16.4,16.384,16.3,16.2,16.2,15.984
Sweden,16.715999999999998,16.6,16.6,16.7,16.9,17.084000000000003,17.3,17.4,17.6,17.7,17.8
United Kingdom,17.7,17.616,17.584000000000003,17.616,17.6,17.616,17.684,17.715999999999998,17.816,17.915999999999997,17.9
