Country,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
European Union,18.915999999999997,19.184,19.5,19.6,19.7,19.9,19.984,20.084000000000003,20.2,20.4,20.5
Belgium,19.0,19.3,19.4,19.484,19.6,19.7,19.9,19.984,20.1,20.1,20.1
Bulgaria,21.3,21.384,21.516,21.3,21.2,21.116,20.884,20.584000000000003,20.484,20.316,20.4
Czechia,21.184,20.9,20.784000000000002,20.4,20.0,19.816,19.684,19.5,19.284000000000002,19.016,18.784000000000002
Denmark,19.8,19.616,19.4,19.2,19.1,19.1,19.215999999999998,19.3,19.516,19.6,19.616
Germany,18.9,19.284000000000002,20.1,20.7,21.184,21.684,22.0,22.1,22.4,22.6,22.8
Estonia,18.816,19.215999999999998,19.616,19.9,20.0,19.984,19.8,19.7,19.584000000000003,19.4,19.415999999999997
Ireland,15.484,15.8,15.984,16.2,16.415999999999997,16.6,16.715999999999998,16.9,17.0,17.1,17.2
Greece,18.0,18.3,18.5,18.616,18.784000000000002,19.0,19.215999999999998,19.415999999999997,19.715999999999998,20.0,20.316
Spain,17.1,17.4,17.7,18.0,18.384,18.715999999999998,19.2,19.616,20.0,20.384,20.7
France,18.9,19.116,19.384,19.4,19.316,19.3,19.2,19.2,19.2,19.215999999999998,19.2
Croatia,20.0,20.467,21.0,21.2,21.316,21.384,21.384,21.5,21.616,21.684,21.616
Italy,18.884,19.1,19.484,19.484,19.684,19.9,20.2,20.584000000000003,21.016,21.484,21.884
Cyprus,17.2,17.415999999999997,17.6,17.7,17.884,18.084000000000003,18.0,18.016,18.0,18.0,17.884
Latvia,18.3,18.816,19.5,20.0,20.4,20.584000000000003,20.6,20.715999999999998,20.684,20.784000000000002,20.884
Lithuania,17.5,18.184,18.984,19.684,20.215999999999998,20.584000000000003,20.816,21.084000000000003,21.4,21.715999999999998,21.9
Luxembourg,17.516,17.816,18.116,18.215999999999998,18.384,18.715999999999998,18.884,19.166999999999998,19.5,19.616,19.784000000000002
Hungary,20.5,20.316,20.4,21.0,20.8,20.5,20.3,20.0,19.816,19.7,19.616
Malta,21.8,21.7,21.8,21.6,21.3,20.8,20.3,19.784000000000002,19.316,18.715999999999998,18.184
Netherlands,19.9,20.1,20.366999999999997,20.316,20.3,20.4,20.533,20.6,20.7,20.8,20.884
Austria,18.0,18.3,18.9,19.384,19.684,20.0,20.3,20.616,21.0,21.415999999999997,21.733
Poland,20.215999999999998,21.0,21.4,21.516,21.4,21.3,21.116,20.816,20.415999999999997,20.1,19.684
Portugal,18.616,18.816,19.1,19.415999999999997,19.784000000000002,20.0,20.184,20.415999999999997,20.616,20.715999999999998,20.915999999999997
Romania,19.984,20.0,20.1,20.016,19.984,19.784000000000002,19.3,18.915999999999997,18.584000000000003,19.116,19.666999999999998
Slovenia,19.984,20.316,20.9,21.2,21.384,21.5,21.6,21.715999999999998,21.8,21.8,21.6
Slovakia,19.3,19.584000000000003,19.9,20.184,20.3,20.316,20.4,20.4,20.2,19.915999999999997,19.715999999999998
Finland,21.6,21.715999999999998,21.6,21.284000000000002,21.0,20.7,20.484,20.3,20.2,20.0,19.884
Sweden,19.415999999999997,19.1,18.8,18.5,18.3,18.084000000000003,18.1,18.1,18.1,18.1,18.1
United Kingdom,18.0,18.1,18.2,18.2,18.1,18.2,18.4,18.5,18.7,18.9,19.1
